,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
11,11,11,11,11,11,My new sounds: Donald Trump https://soundcloud.com/user-621836407/donald-trump … on #SoundCloud,2017-03-01 15:15:33,0,0,837078885724483586,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
12,12,12,12,12,12,“The bar is so low for Donald Trump that people praise him when he reads straight from an autocue” http://buff.ly/2mGFSDK pic.twitter.com/UgNuzG2Ecw,2017-03-01 15:13:06,1,0,837078272286441472,"{'neg': 0.109, 'neu': 0.674, 'pos': 0.218, 'compound': 0.4135}",0.0900346014637,0.097999132751
13,13,13,13,13,13,"This isn't a #NewTrump , this is the Donald Trump America voted for. You're just seeing it without bias now.",2017-03-01 15:06:03,5,2,837076496581869569,"{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.0762}",0.0900346014637,0.097999132751
14,14,14,14,14,14,Fuck Donald Trump  http://ln.is/www.instagram.com/p/9Lunf …,2017-03-01 15:05:21,0,0,837076320504918016,"{'neg': 0.538, 'neu': 0.462, 'pos': 0.0, 'compound': -0.5423}",0.0900346014637,0.097999132751
15,15,15,15,15,15,New DNC chair Tom Perez accuses Donald Trump of wanting to cut overtime pay http://www.politifact.com/truth-o-meter/statements/2017/feb/26/thomas-perez/new-dnc-chair-tom-perez-says-donald-trump-wants-cu/ … via @PolitiFact,2017-03-01 15:03:00,0,0,837075727291834368,"{'neg': 0.296, 'neu': 0.704, 'pos': 0.0, 'compound': -0.5994}",0.0900346014637,0.097999132751
16,16,16,16,16,16,Jeff Sessions allegedly steered Russian operative Carter Page to Donald Trump campaign http://www.palmerreport.com/politics/jeff-sessions-carter-page-russia-donald-trump/1709/ … via @PalmerReport,2017-03-01 15:02:50,3,5,837075686955200513,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
17,17,17,17,17,17,Donald Trump Is Tarnishing America’s Brand - Foreign Policy Magazine http://ln.is/foreignpolicy.com/20/CogSF …,2017-03-01 15:01:48,0,0,837075426853806080,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
18,18,18,18,18,18,Fact-checking Donald Trump’s claim about soaring Obamacare premiums http://www.politifact.com/truth-o-meter/statements/2017/feb/28/donald-trump/fact-checking-donald-trumps-claim-about-soaring-ob/ … via @PolitiFact,2017-03-01 15:01:38,0,0,837075383090499586,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
19,19,19,19,19,19,Daily reminder that Hillary Clinton beat Donald Trump by 2.8 million votes.,2017-03-01 15:01:22,1599,481,837075316480749568,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
20,20,20,20,20,20,PIERS MORGAN: Last night the real Donald Trump finally stood up http://dailym.ai/2mdzMNN  via @MailOnline,2017-03-01 14:48:30,5,2,837072078100545537,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
21,21,21,21,21,21,"DONALD TRUMP: ""GRAB HER BY THE P***Y"" VIDEO!!  https://www.youtube.com/watch?v=S9YxXJBvYS4&feature=share …",2017-03-01 14:43:08,0,0,837070729610833921,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
22,22,22,22,22,22,Fact-checking Donald Trump's first presidential address to Congress https://www.theguardian.com/us-news/2017/mar/01/donald-trump-congress-address-fact-check?CMP=share_btn_tw …,2017-03-01 14:34:25,0,0,837068534265995264,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
23,23,23,23,23,23,#Resist #ImpeachTrump #FuckTrump BREAKING: Justice Ginsburg Just DEFIED Donald Trump in Front of MILLIONS http://ht.ly/i85o509TO4r ,2017-03-01 14:32:42,3,2,837068102688985088,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.5267}",0.0900346014637,0.097999132751
24,24,24,24,24,24,President Donald Trump Received Record 3 Million Tweets During Joint Address To Congress http://9.zov.li/NWL1xz  #zov911pic.twitter.com/gazZlvo3IS,2017-03-01 14:27:19,0,0,837066746641055747,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
25,25,25,25,25,25,"Donald Trump, Master of Disaster? http://www.politico.com/magazine/story/2017/03/donald-trump-master-of-disaster-214848?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/bi25zqFYYe",2017-03-01 14:21:18,0,0,837065234749652995,"{'neg': 0.471, 'neu': 0.529, 'pos': 0.0, 'compound': -0.6662}",0.0900346014637,0.097999132751
26,26,26,26,26,26,"Donald Trump, Master of Disaster? http://viid.me/qboCmb pic.twitter.com/Da6HuEjZLJ",2017-03-01 14:21:13,0,0,837065213992042497,"{'neg': 0.451, 'neu': 0.549, 'pos': 0.0, 'compound': -0.6249}",0.0900346014637,0.097999132751
27,27,27,27,27,27,@MichaelLaRosaDC @KatyTurNBC And the TrumpGOP views journalists as critics of Donald Trump. They have declared you the enemy. Understand?,2017-03-01 14:17:56,3,0,837064385965129730,"{'neg': 0.251, 'neu': 0.749, 'pos': 0.0, 'compound': -0.6908}",0.0900346014637,0.097999132751
28,28,28,28,28,28,Revisiting Donald Trump’s Anti-Semitic Attacks Against Jon Stewart  http://thebea.st/2lpOQmS  via @thedailybeast,2017-03-01 14:17:04,0,0,837064169346105354,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4404}",0.0900346014637,0.097999132751
29,29,29,29,29,29,Fuck Donald Trump bro. How tf do y'all still support him!?!,2017-03-01 14:12:03,0,0,837062908781592576,"{'neg': 0.259, 'neu': 0.57, 'pos': 0.171, 'compound': -0.3365}",0.0900346014637,0.097999132751
30,30,30,30,30,30,Donald Trump Says Barack Obama Is Behind The Protests Against Him http://www.cosmopolitan.com/politics/a8990329/donald-trump-accuses-barack-obama-protests/ … via @Cosmopolitan  HA HA HA HA HA HA HA HA HA ....,2017-03-01 14:07:59,1,0,837061884993929216,"{'neg': 0.043, 'neu': 0.317, 'pos': 0.639, 'compound': 0.9783}",0.0900346014637,0.097999132751
31,31,31,31,31,31,Alec Baldwin Is Writing an Entire Book as Donald Trump http://www.vanityfair.com/hollywood/2017/03/alec-baldwin-donald-trump-book-kurt-andersen-november …,2017-03-01 13:57:34,2,0,837059261410639875,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
32,32,32,32,32,32,Racism of Donald Trump is on clear display as he fails to even mention Indian engineer Kuchibhotla's name. https://www.washingtonpost.com/news/global-opinions/wp/2017/03/01/the-kansas-shooting-teaches-indians-a-few-lessons-about-trump-and-the-united-states/ …,2017-03-01 13:56:04,1,0,837058884955062272,"{'neg': 0.271, 'neu': 0.627, 'pos': 0.102, 'compound': -0.6486}",0.0900346014637,0.097999132751
33,33,33,33,33,33,Donald Trump's actual policies contradict his joint session speech http://www.huffingtonpost.com/entry/donald-trump-policies-joint-session_us_58b6e282e4b0780bac2f010b?ncid=engmodushpmg00000004 … # via @HuffPostPol,2017-03-01 13:51:20,0,0,837057691746906112,"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.3182}",0.0900346014637,0.097999132751
34,34,34,34,34,34,Donald Trump and his Fox friends believe they know who is secretly coordinating all the protests http://m.dailykos.com/stories/2017/2/28/1638554/-Donald-Trump-and-his-Fox-friends-believe-they-know-who-is-secretly-coordinating-all-the-protests?detail=email&link_id=7&can_id=789b20710b145fddc7e4171129fe8792&source=email-fox-news-tucker-carlson-implodes-as-bill-nye-the-science-guy-schooled-him-on-climate-change&email_referrer=fox-news-tucker-carlson-implodes-as-bill-nye-the-science-guy-schooled-him-on-climate-change&email_subject=fox-news-tucker-carlson-implodes-as-bill-nye-the-science-guy-schooled-him-on-climate-change …,2017-03-01 13:45:43,0,0,837056279403061248,"{'neg': 0.095, 'neu': 0.75, 'pos': 0.155, 'compound': 0.296}",0.0900346014637,0.097999132751
35,35,35,35,35,35,Donald Trump seems to admit Mexico will never pay for his border wall http://www.independent.co.uk/news/world/americas/us-politics/trump-speech-mexico-wall-payment-donald-joint-address-congress-a7604826.html …,2017-03-01 13:45:30,4,3,837056226294837248,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.2723}",0.0900346014637,0.097999132751
36,36,36,36,36,36,"I am filing ALL of Donald Trump's beliefs, Obama hate, and rage tweets under a tab called #NationalPigDay @CNN",2017-03-01 13:45:08,0,0,837056132644392960,"{'neg': 0.327, 'neu': 0.673, 'pos': 0.0, 'compound': -0.8074}",0.0900346014637,0.097999132751
37,37,37,37,37,37,"@jbarro @mattyglesias ""I'm still trying to figure out why ppl had an issue with John Edwards at all."" - President Donald Trump",2017-03-01 13:41:22,0,0,837055185885114368,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
38,38,38,38,38,38,Bill Maher To Chris Matthews: Donald Trump’s Speech To Congress “Will Fool A Lot Of People” http://deadline.com/2017/03/bill-maher-donald-trump-speech-chris-maatthews-congress-1202029396/ … via @deadline,2017-03-01 13:40:28,0,0,837054959015231490,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.4404}",0.0900346014637,0.097999132751
39,39,39,39,39,39,"Ever a Showman, Donald Trump Keeps Washington Guessing http://www.nytimes.com/2017/02/28/us/politics/trump-speech.html … #FuckTrump #Resist #ImpeachTrump",2017-03-01 13:40:10,0,0,837054882490236928,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
40,40,40,40,40,40,Calling Donald Trump “Presidential” Forces Us to Fight a Person Who Doesn’t Exist http://dlvr.it/NWKC48 pic.twitter.com/3B2TpLlitp,2017-03-01 13:39:08,0,0,837054624880197635,"{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.3818}",0.0900346014637,0.097999132751
41,41,41,41,41,41,Alec Baldwin Plans Satirical Donald Trump Book http://ln.is/www.rollingstone.com/GJv7d … via @RollingStone,2017-03-01 13:37:40,0,0,837054253281734670,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
42,42,42,42,42,42,@Oprah please do not run for president just because Donald Trump did. That's a false sense of confidence for you,2017-03-01 13:34:31,0,0,837053460855980032,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.6808}",0.0900346014637,0.097999132751
43,43,43,43,43,43,Donald Trump fact check: Almost every big claim he made in his speech to Congress was false http://www.independent.co.uk/news/world/americas/us-politics/donald-trump-speech-fact-check-lies-claims-joint-address-congress-jobs-immigration-pipeline-a7604861.html …,2017-03-01 13:34:00,4,16,837053331772080128,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
44,44,44,44,44,44,Oprah Winfrey please do not run for president just because Donald Trump did,2017-03-01 13:33:40,0,0,837053248389316608,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3182}",0.0900346014637,0.097999132751
45,45,45,45,45,45,"""The most outrageous of Donald Trump's bogus employment statistics"" http://ln.is/www.msnbc.com/rachel/DiWOs …",2017-03-01 13:32:21,0,1,837052916221554694,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.5095}",0.0900346014637,0.097999132751
46,46,46,46,46,46,"'Senior administration official' proves that you can't trust Donald Trump, and also is Donald Trump http://theblu.ga/6ul pic.twitter.com/MvtR75aLdr",2017-03-01 13:32:08,0,0,837052863058591744,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4023}",0.0900346014637,0.097999132751
47,47,47,47,47,47,#Resist #ImpeachTrump #FuckTrump A 229-Year Old Sentence Could Lead To The Impeachment Of Donald Trump http://ht.ly/caDa509TJR0 ,2017-03-01 13:31:38,1,1,837052735488946186,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.0772}",0.0900346014637,0.097999132751
48,48,48,48,48,48,@tmbsandiego @Rschooley @JoyAnnReid where does it say anywhere that Donald Trump blamed his generals for the death of her husband,2017-03-01 13:24:16,0,0,837050881153486848,"{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.7906}",0.0900346014637,0.097999132751
49,49,49,49,49,49,DONALD TRUMP IS A BITCH LFNOSNDLWNDND https://twitter.com/younggawhd/status/836802030110912515 …,2017-03-01 13:22:53,0,0,837050534188072960,"{'neg': 0.476, 'neu': 0.524, 'pos': 0.0, 'compound': -0.6739}",0.0900346014637,0.097999132751
50,50,50,50,50,50,Donald Trump endurecerá el proceso para que los extranjeros puedan obtener visas http://ow.ly/y2y9309tdpD   via @El_Cooperante,2017-03-01 13:20:01,0,0,837049811169746944,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
51,51,51,51,51,51,Mystery death of ex-KGB chief linked to MI6 spy's dossier on Donald Trump #TrumpRussia http://www.telegraph.co.uk/news/2017/01/27/mystery-death-ex-kgb-chief-linked-mi6-spys-dossier-donald-trump/?WT.mc_id=tmg_share_tw … via @telegraphnews,2017-03-01 13:16:56,0,0,837049036603445248,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.5994}",0.0900346014637,0.097999132751
52,52,52,52,52,52,#BREAKING How long has it been since Donald Trump attacked someone on Twitter? http://www.epoliticalnews.com/political-news/breaking-how-long-has-it-been-since-donald-trump-attacked-someone-on-twitter/ …pic.twitter.com/HriTvK9ewR,2017-03-01 13:14:45,0,0,837048486306574336,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.4588}",0.0900346014637,0.097999132751
53,53,53,53,53,53,"Le dispositif Clinton pour discréditer Donald #Trump. 
http://www.voltairenet.org/a195437  [Réseau Voltaire]",2017-03-01 13:11:38,0,0,837047700516306944,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
54,54,54,54,54,54,Barack Obama’s First Congress Address Drew Higher Ratings Than President Donald Trump http://9.zov.li/NWJQ6D  #zov911pic.twitter.com/UgbMRDhRMu,2017-03-01 12:55:46,1,0,837043710290337792,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
55,55,55,55,55,55,The heartless cruelty of Donald Trump’s continued promises to coal miners: http://www.slate.com/blogs/moneybox/2017/03/01/trump_made_more_impossible_economic_promises_tonight.html?wpsrc=sh_all_dt_tw_bot … via @slate,2017-03-01 12:51:25,0,0,837042615363096576,"{'neg': 0.343, 'neu': 0.531, 'pos': 0.126, 'compound': -0.6705}",0.0900346014637,0.097999132751
56,56,56,56,56,56,Donald Trump Lowering the Age of Sexual Consent to 13 Is Fake News http://9.zov.li/NWJD0t  #zov911pic.twitter.com/rZOqyHnGVX,2017-03-01 12:45:09,0,0,837041038279598080,"{'neg': 0.268, 'neu': 0.632, 'pos': 0.1, 'compound': -0.4939}",0.0900346014637,0.097999132751
57,57,57,57,57,57,"FLOPPING ACES:  No, George W. Bush did not criticize Donald Trump. He agreed with Trump.  “An indepe… https://pjmedia.com/instapundit/258603/ …",2017-03-01 12:38:28,0,0,837039356195938304,"{'neg': 0.102, 'neu': 0.698, 'pos': 0.199, 'compound': 0.2695}",0.0900346014637,0.097999132751
58,58,58,58,58,58,"#Repost @trickeychemist
#Camron wants you to stay snitching on #donaldtrump … https://www.instagram.com/p/BRG_MEVhu97/ ",2017-03-01 12:37:34,1,0,837039130269790208,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
59,59,59,59,59,59,Watch out for #SJSharks coach Peter DeBoer getting Jersey Shore tan after inserting himself into a Doug Wilson and Donald Trump sandwich.,2017-03-01 12:34:39,0,0,837038395704541185,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
60,60,60,60,60,60,Peter DeBoer better be ready for annual IRS audits after calling out Donald Trump regarding Jannik Hansen's visa status.,2017-03-01 12:32:58,3,0,837037972125933568,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.6597}",0.0900346014637,0.097999132751
61,61,61,61,61,61,Donald Trump’s Obsession With Applause https://nyti.ms/2lzBq8G ,2017-03-01 12:30:41,0,0,837037395560128512,"{'neg': 0.261, 'neu': 0.435, 'pos': 0.304, 'compound': 0.1027}",0.0900346014637,0.097999132751
62,62,62,62,62,62,Bernie Sanders just delivered a scathing response to Donald Trump's first address to Congress http://www.motherjones.com/politics/2017/02/bernie-sanders-donald-trump-congress-speech … via @MotherJones,2017-03-01 12:29:50,1,0,837037182808293376,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
63,63,63,63,63,63,"Donald Trump, Master of Low Expectations https://nyti.ms/2lzHr5o ",2017-03-01 12:28:31,0,0,837036852330692608,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.2732}",0.0900346014637,0.097999132751
64,64,64,64,64,64,@politico He has been Donald Trump for 70 years and in one day he is a new Trump? Dreamers.,2017-03-01 12:27:43,9,2,837036648634294273,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
65,65,65,65,65,65,Donald Trump's Actual Policies Contradict His Joint Session Speech - The Huffington Post https://apple.news/A26TBd2CfTXum-KyU30mo0w …,2017-03-01 12:26:19,0,0,837036296153374721,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3182}",0.0900346014637,0.097999132751
66,66,66,66,66,66,"I sold everything, for huge profit!  Thank you Donald Trump!  $SPY up huge baby!  Shorted $URI today.",2017-03-01 12:23:46,2,0,837035658057129984,"{'neg': 0.0, 'neu': 0.525, 'pos': 0.475, 'compound': 0.8713}",0.0900346014637,0.097999132751
67,67,67,67,67,67,Why Donald Trump’s Address To Congress Was Exactly What America Needed To Hear http://TheTrumpUsa.co.vu/4R5 pic.twitter.com/AkBVbB6ZyS,2017-03-01 12:23:16,0,0,837035531619880960,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
68,68,68,68,68,68,Fact check: Donald Trump's first formal address to Congress http://fb.me/1QEZOQDZc ,2017-03-01 12:11:07,0,0,837032472470659076,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
69,69,69,69,69,69,Jennifer Garner 'Looking Forward to Helping' Donald Trump http://bit.ly/2melM6k  via @BreitbartNews,2017-03-01 12:11:01,0,0,837032446994616329,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}",0.0900346014637,0.097999132751
70,70,70,70,70,70,Alec Baldwin's Donald Trump Impression Now Has Its Own Book Deal http://viid.me/qbuJ4t pic.twitter.com/5ukgk3mTi5,2017-03-01 12:08:24,0,0,837031788752969728,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.2263}",0.0900346014637,0.097999132751
71,71,71,71,71,71,Donald Trump Calls Barack Obama To Chit-Chat About Oscars In 'Conan' Spoof http://viid.me/qbuJfb pic.twitter.com/AqJAjPnob8,2017-03-01 12:08:20,0,0,837031772240019457,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
72,72,72,72,72,72,"Last night @POTUS was extremely vague about his ""replacement of Obamacare"". All of his speech was blurry-outlined plans. #donaldtrump #POTUS",2017-03-01 12:07:59,1,0,837031682691620865,"{'neg': 0.082, 'neu': 0.918, 'pos': 0.0, 'compound': -0.1761}",0.0900346014637,0.097999132751
73,73,73,73,73,73,Don’t Be Fooled. Donald Trump Didn’t Pivot - The New Yorker http://www.newyorker.com/news/john-cassidy/dont-be-fooled-donald-trump-didnt-pivot?mbid=nl_030117+Cassidy+Post+Newsletter+%281%29&CNDID=40323269&spMailingID=10531176&spUserID=MTMzMTg0NzU1NTk2S0&spJobID=1120059731&spReportId=MTEyMDA1OTczMQS2 …,2017-03-01 12:05:29,0,0,837031055047725058,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.3818}",0.0900346014637,0.097999132751
74,74,74,74,74,74,Hell no like Donald Trump said a lot of the problems can be resolved. Im a Californian! https://twitter.com/agreatercountry/status/837029845955665920 …,2017-03-01 12:02:18,1,0,837030253230882816,"{'neg': 0.392, 'neu': 0.44, 'pos': 0.168, 'compound': -0.7644}",0.0900346014637,0.097999132751
75,75,75,75,75,75,Dem Senator: Donald Trump Was 'Childish' To Ignore Climate Change In His Big Speech http://buff.ly/2lrDKxK ,2017-03-01 12:02:11,0,0,837030225984778240,"{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3612}",0.0900346014637,0.097999132751
76,76,76,76,76,76,Donald Trump and his Fox friends believe they know who is secretly coordinating all the protests http://www.dailykos.com/story/2017/2/28/1638554/-Donald-Trump-and-his-Fox-friends-believe-they-know-who-is-secretly-coordinating-all-the-protests …,2017-03-01 11:51:17,0,0,837027483295744000,"{'neg': 0.095, 'neu': 0.75, 'pos': 0.155, 'compound': 0.296}",0.0900346014637,0.097999132751
77,77,77,77,77,77,"Chris Wallace: ""Tonight Donald Trump became the President of the United States.""  
#JointAddresspic.twitter.com/RI9ViFuFYZ",2017-03-01 11:48:33,67,42,837026793659871232,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.4215}",0.0900346014637,0.097999132751
78,78,78,78,78,78,"#RT Asia and Australia Edition: Donald Trump, Mosul, Kim Jong-nam: Your Morning Briefing http://24newsdaily.ml/46F  #Trumppic.twitter.com/5A4XXaH7Vp",2017-03-01 11:48:10,0,0,837026698767941632,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
79,79,79,79,79,79,"#MAGA Trump Effect!
Donald Trump joint address: The afterglow of the president’s speech to Congress - http://go.shr.lc/2m8I2hs  - @washtimes",2017-03-01 11:41:39,8,3,837025055246704640,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
80,80,80,80,80,80,"@keithellison @ScienceAlert 

As long as Donald Trump realizes a profit on his investment in DAPL, amirite? 

#Resist",2017-03-01 11:39:23,3,2,837024487853850624,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.0900346014637,0.097999132751
81,81,81,81,81,81,The most outrageous of Donald Trump's bogus employment statistics | MSNBC http://www.msnbc.com/rachel-maddow-show/the-most-outrageous-donald-trumps-bogus-employment-statistics?cid=eml_mra_20170301 …,2017-03-01 11:39:06,0,0,837024416395489280,"{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.5095}",0.0900346014637,0.097999132751
82,82,82,82,82,82,"Disgusting: @piersmorgan: “I do not drink Donald Trump’s bath water, though I’m sure it tastes delicious,” http://www.mediaite.com/online/tv-segment-about-trump-blows-up-piers-you-drink-his-bath-water/ ….",2017-03-01 11:37:27,3,1,837024001864019968,"{'neg': 0.152, 'neu': 0.58, 'pos': 0.268, 'compound': 0.3818}",0.0900346014637,0.097999132751
